"","QSENSO","QTECHNO","QSANTE","QNUTRI","QGLOAN","ENVCC","ENVEUTRO","ENVACIDIF","ENVRES","ENVBIO","ENVGLO"
"QSENSO",1,-0.122844214250004,-0.00144963299902219,-0.632624099674478,-0.449825210740364,0.176826378722147,-0.0744770431492944,0.111689464133411,-0.0717186364533273,-0.0289323687849287,-0.0751094318523838
"QTECHNO",-0.122844214250004,1,-0.370039308514812,0.049522485996902,0.144936185606023,0.457764100713922,0.108811257785368,-0.45975430169502,-0.533129439123245,-0.00623121012951993,0.152921797849998
"QSANTE",-0.00144963299902219,-0.370039308514812,1,-0.0865655922354294,-0.034335001269911,0.180771469032031,0.101608178479903,0.176269150576485,0.197128101498075,0.641840953731524,0.247729684604439
"QNUTRI",-0.632624099674478,0.049522485996902,-0.0865655922354294,1,0.286359714824091,0.0309054210083273,0.0531034701697083,0.293306591074765,0.164787976209914,0.0561252659450025,0.352161016789097
"QGLOAN",-0.449825210740364,0.144936185606023,-0.034335001269911,0.286359714824091,1,0.106479789187441,0.0321806518603488,-0.304654411702135,-0.137006674987125,-0.132654677261704,-0.0929420781113452
"ENVCC",0.176826378722147,0.457764100713922,0.180771469032031,0.0309054210083273,0.106479789187441,1,0.160132410375139,-0.107649946504153,-0.17135750953382,0.133096712202263,0.150929028943582
"ENVEUTRO",-0.0744770431492944,0.108811257785368,0.101608178479903,0.0531034701697083,0.0321806518603488,0.160132410375139,1,0.156729279966475,0.207662172337414,0.101390737979194,0.213650248870627
"ENVACIDIF",0.111689464133411,-0.45975430169502,0.176269150576485,0.293306591074765,-0.304654411702135,-0.107649946504153,0.156729279966475,1,0.677884033428852,0.156479342145013,0.436852536448827
"ENVRES",-0.0717186364533273,-0.533129439123245,0.197128101498075,0.164787976209914,-0.137006674987125,-0.17135750953382,0.207662172337414,0.677884033428852,1,-0.233798093423746,0.243776047414012
"ENVBIO",-0.0289323687849287,-0.00623121012951993,0.641840953731524,0.0561252659450025,-0.132654677261704,0.133096712202263,0.101390737979194,0.156479342145013,-0.233798093423746,1,0.306945119452472
"ENVGLO",-0.0751094318523838,0.152921797849998,0.247729684604439,0.352161016789097,-0.0929420781113452,0.150929028943582,0.213650248870627,0.436852536448827,0.243776047414012,0.306945119452472,1
